Date,Time,Electricity,Steam,Water
2023-10-19,04:22,218,71,6.5
2023-10-19,04:38,213,70,0.46
2023-10-19,05:33,212,74,0.48
2023-10-19,06:20,209,135,0.43
2023-10-19,08:26,202,144,0.48
