Date,Time,Electricity,Steam,Water
2023-10-19,04:22,267,"1,562",1.6
2023-10-19,04:38,270,"1,370",1.5
2023-10-19,05:33,264,"1,234",1.7
2023-10-19,06:20,269,"1,368",1.5
2023-10-19,08:26,263,"1,478",2
2023-10-19,08:55,267,"1,800",1.7
